Model,Accuracy,Precision,Recall,F1-Score,Macro F1,Weighted F1,ROC-AUC,PR-AUC,CV Mean Acc,CV Std Acc
Multinomial NB,0.964755838641189,0.9345991561181435,0.8949494949494949,0.9143446852425181,0.9460790520572387,0.9644728570262807,0.9607478005865102,0.9129316505019237,0.9649306856500562,0.004787893908049408
Bernoulli NB,0.9201698513800425,0.8925831202046036,0.705050505050505,0.7878103837471784,0.8693236019154302,0.9165701169046716,0.9776870859128923,0.8850342859728909,0.9209441738478832,0.005983034628202043
Gaussian NB,0.7876857749469215,0.49403341288782815,0.41818181818181815,0.45295404814004375,0.6606182253345109,0.7809840860013676,0.7622113609210384,0.4369533553292842,0.7866616710378419,0.003934949674969218
